Rank,Time,Coin,Symbol,Price,Change in last 24h,Total vol(24h)
1,09:15:52--11/22/22,"Bitcoin
BTC",,"£ 13,273.15",-2.53%,£ 8.36 B
2,09:15:52--11/22/22,"Ethereum
ETH",,£ 917.80,-3.11%,£ 4.22 B
3,09:15:52--11/22/22,"BUSD
BUSD",,£ 0.8446,-0.17%,£ 1.03 B
4,09:15:53--11/22/22,"Tether
USDT",,£ 0.8425,-0.34%,£ 604.88 M
5,09:15:53--11/22/22,"XRP
XRP",,£ 0.3009,1.35%,£ 541.74 M
6,09:15:53--11/22/22,"Bonfida
FIDA",,£ 0.6358,95.68%,£ 368.70 M
7,09:15:53--11/22/22,"Binance Coin
BNB",,£ 213.70,-1.97%,£ 290.68 M
8,09:15:53--11/22/22,"Chiliz
CHZ",,£ 0.1479,-8.76%,£ 242.45 M
9,09:15:54--11/22/22,"Dogecoin
DOGE",,£ 0.06247,-3.18%,£ 234.72 M
10,09:15:54--11/22/22,"Polygon
MATIC",,£ 0.6731,-0.81%,£ 222.92 M
11,09:15:54--11/22/22,"DFI.money
YFII",,"£ 1,344.74",-14.57%,£ 165.76 M
12,09:15:54--11/22/22,"Litecoin
LTC",,£ 52.07,1.98%,£ 145.50 M
13,09:15:54--11/22/22,"Cardano
ADA",,£ 0.2540,-1.63%,£ 127.31 M
14,09:15:54--11/22/22,"Chainlink
LINK",,£ 4.999,3.09%,£ 126.94 M
15,09:15:55--11/22/22,"Solana
SOL",,£ 9.656,-2.90%,£ 114.08 M
16,09:15:55--11/22/22,"USD Coin
USDC",,£ 0.8437,-0.25%,£ 112.97 M
17,09:15:55--11/22/22,"VIDT Datalink
VIDT",,£ 0.03056,71.63%,£ 93.97 M
18,09:15:55--11/22/22,"TRON
TRX",,£ 0.04170,-2.61%,£ 98.99 M
19,09:15:55--11/22/22,"Polkadot
DOT",,£ 4.276,-2.86%,£ 77.05 M
20,09:15:55--11/22/22,"Raydium
RAY",,£ 0.1922,1.03%,£ 73.65 M
21,09:15:56--11/22/22,"Bitcoin Cash
BCH",,£ 89.14,2.63%,£ 68.58 M
22,09:15:56--11/22/22,"Near
NEAR",,£ 1.279,-1.51%,£ 67.48 M
23,09:15:56--11/22/22,"Cosmos
ATOM",,£ 7.436,-2.87%,£ 67.42 M
24,09:15:56--11/22/22,"Algorand
ALGO",,£ 0.1943,-7.39%,£ 67.07 M
25,09:15:56--11/22/22,"Monero
XMR",,£ 107.81,-1.96%,£ 61.26 M
26,09:15:56--11/22/22,"Curve DAO Token
CRV",,£ 0.3711,-12.68%,£ 57.57 M
27,09:15:57--11/22/22,"SONM
SNM",,£ 0.8569,-25.52%,£ 55.72 M
28,09:15:57--11/22/22,"ApeCoin
APE",,£ 2.412,-4.93%,£ 53.17 M
29,09:15:57--11/22/22,"Shiba Inu
SHIB",,£ 0.00000702,-4.14%,£ 51.80 M
30,09:15:57--11/22/22,"Ethereum Classic
ETC",,£ 14.91,-0.62%,£ 48.75 M
31,09:15:57--11/22/22,"Uniswap Protocol Token
UNI",,£ 4.232,-6.29%,£ 45.96 M
32,09:15:58--11/22/22,"Terra Classic
LUNC",,£ 0.0001262,-3.93%,£ 45.04 M
33,09:15:58--11/22/22,"dYdX
DYDX",,£ 1.484,-4.78%,£ 49.94 M
34,09:15:58--11/22/22,"Serum
SRM",,£ 0.1970,-10.11%,£ 40.60 M
35,09:15:58--11/22/22,"Mask Network
MASK",,£ 2.001,-7.79%,£ 42.46 M
36,09:15:58--11/22/22,"Aptos
APT",,£ 3.313,-3.13%,£ 39.31 M
37,09:15:59--11/22/22,"Avalanche
AVAX",,£ 9.748,-3.59%,£ 38.94 M
38,09:15:59--11/22/22,"Beta Finance
BETA",,£ 0.06233,4.22%,£ 37.48 M
39,09:15:59--11/22/22,"FileCoin
FIL",,£ 3.470,-1.42%,£ 36.12 M
40,09:15:59--11/22/22,"iExec
RLC",,£ 0.9765,6.45%,£ 33.78 M
41,09:15:59--11/22/22,"Storj
STORJ",,£ 0.2662,-2.92%,£ 33.30 M
42,09:15:59--11/22/22,"Everipedia
IQ",,£ 0.005475,3.94%,£ 31.86 M
43,09:16:00--11/22/22,"Mdex
MDX",,£ 0.07068,12.82%,£ 32.24 M
44,09:16:00--11/22/22,"EOS
EOS",,£ 0.7103,-2.05%,£ 30.29 M
45,09:16:00--11/22/22,"The Sandbox
SAND",,£ 0.4446,-1.35%,£ 28.77 M
46,09:16:00--11/22/22,"STEPN
GMT",,£ 0.3052,-0.84%,£ 28.11 M
47,09:16:00--11/22/22,"Sushi
SUSHI",,£ 0.9339,-3.32%,£ 24.43 M
48,09:16:01--11/22/22,"Wrapped Bitcoin
WBTC",,"£ 13,208.88",-2.35%,£ 25.74 M
49,09:16:01--11/22/22,"Aave
AAVE",,£ 45.29,-5.21%,£ 24.17 M
50,09:16:01--11/22/22,"Trust Wallet Token
TWT",,£ 1.687,-2.68%,£ 24.83 M
51,09:16:01--11/22/22,"Stellar
XLM",,£ 0.07034,-3.23%,£ 23.99 M
52,09:16:01--11/22/22,"Decentraland
MANA",,£ 0.3051,-3.80%,£ 23.86 M
53,09:16:02--11/22/22,"Kava
KAVA",,£ 0.6960,-0.46%,£ 23.49 M
54,09:16:02--11/22/22,"Axie Infinity Shards
AXS",,£ 5.199,-3.17%,£ 21.88 M
55,09:16:02--11/22/22,"Gala
GALA",,£ 0.02045,-3.68%,£ 21.70 M
56,09:16:03--11/22/22,"Optimism
OP",,£ 0.6899,-1.34%,£ 21.44 M
57,09:16:03--11/22/22,"Dai
DAI",,£ 0.8427,-0.52%,£ 21.38 M
58,09:16:03--11/22/22,"JUST
JST",,£ 0.01737,-2.33%,£ 21.99 M
59,09:16:03--11/22/22,"APENFT
NFT",,£ 0.00000038,-0.34%,£ 21.41 M
60,09:16:04--11/22/22,"Waves
WAVES",,£ 1.741,-5.47%,£ 19.33 M
61,09:16:04--11/22/22,"Quant
QNT",,£ 85.09,-5.02%,£ 18.31 M
62,09:16:04--11/22/22,"Cronos
CRO",,£ 0.05298,-2.88%,£ 17.89 M
63,09:16:04--11/22/22,"SafePal
SFP",,£ 0.3977,-11.31%,£ 16.90 M
64,09:16:04--11/22/22,"Hashflow
HFT",,£ 0.3843,-3.94%,£ 16.28 M
65,09:16:05--11/22/22,"yearn.finance
YFI",,"£ 4,945.41",0.27%,£ 15.50 M
66,09:16:05--11/22/22,"Terra
LUNA",,£ 1.229,-3.00%,£ 14.55 M
67,09:16:05--11/22/22,"League of Kingdoms
LOKA",,£ 0.2988,2.52%,£ 14.04 M
